epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,766.789,1.02288,2.20215,1.48627,0.35183,0.36406,0.37207,0.22425,1.32201,3.15217,2.16815,0.000473672,0.000473672,0.000473672
2,1545.61,1.08679,1.82873,1.53095,0.24674,0.26559,0.25688,0.1278,1.66564,2.7748,2.49774,0.000931195,0.000931195,0.000931195
3,2363.14,1.12063,1.7554,1.56967,0.36755,0.42075,0.43668,0.25726,1.35024,1.67027,2.16872,0.00136986,0.00136986,0.00136986
4,3677.6,1.10782,1.62309,1.55134,0.43033,0.40085,0.43852,0.25244,1.3778,1.81482,2.18872,0.00134412,0.00134412,0.00134412
5,4601.99,1.09146,1.56925,1.54273,0.4474,0.38025,0.4148,0.27969,1.15429,1.5754,1.88945,0.00131582,0.00131582,0.00131582
6,5414.55,1.03052,1.46784,1.49126,0.47638,0.56166,0.56208,0.36845,1.15699,1.21478,1.89983,0.00128753,0.00128753,0.00128753
7,6458.24,0.9545,1.36385,1.44132,0.48041,0.45331,0.49249,0.36278,1.0024,1.2982,1.77318,0.00125923,0.00125923,0.00125923
8,7343.8,0.94259,1.34461,1.42618,0.57267,0.52404,0.57885,0.41454,0.9846,1.04905,1.7045,0.00123094,0.00123094,0.00123094
9,8212.37,0.93816,1.31075,1.42625,0.5563,0.50005,0.54517,0.40226,0.95861,1.09182,1.69649,0.00120265,0.00120265,0.00120265
10,9088.79,0.91801,1.29072,1.40566,0.52133,0.52064,0.5483,0.39908,0.94137,1.07067,1.72222,0.00117435,0.00117435,0.00117435
11,9960.92,0.89729,1.27291,1.39912,0.44707,0.51807,0.52857,0.42234,0.82039,0.99138,1.51842,0.00114606,0.00114606,0.00114606
12,10844.7,0.88555,1.21561,1.38307,0.5676,0.54804,0.57811,0.43213,0.90792,0.94694,1.6352,0.00111776,0.00111776,0.00111776
13,11721.7,0.86337,1.20735,1.36992,0.51976,0.51034,0.54208,0.4044,0.88305,1.0885,1.59262,0.00108947,0.00108947,0.00108947
14,12607.8,0.81999,1.12899,1.33797,0.56701,0.50005,0.56925,0.44447,0.81432,0.97303,1.52732,0.00106118,0.00106118,0.00106118
15,13402.2,0.83001,1.16763,1.34249,0.56488,0.57016,0.61037,0.46261,0.81454,0.99344,1.53992,0.00103288,0.00103288,0.00103288
16,14902.4,0.81821,1.143,1.32815,0.57648,0.56514,0.59442,0.46336,0.84095,0.75323,1.60977,0.00100459,0.00100459,0.00100459
17,754.154,0.80038,1.12168,1.32553,0.60802,0.46585,0.55574,0.44157,0.81625,1.11209,1.57658,0.000976293,0.000976293,0.000976293
18,1492.82,0.7961,1.098,1.31468,0.59377,0.5547,0.59236,0.46345,0.80613,0.72505,1.53461,0.000947999,0.000947999,0.000947999
19,9630.32,0.79283,1.10266,1.32004,0.58105,0.5971,0.61984,0.48444,0.80242,0.68956,1.49744,0.000919704,0.000919704,0.000919704
20,10370.4,0.78181,1.08129,1.30943,0.53885,0.57311,0.58876,0.47056,0.77995,0.82532,1.48804,0.00089141,0.00089141,0.00089141
