epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.024,1.04275,2.41785,1.44559,0.89425,0.41065,0.50659,0.34925,1.06271,2.00156,1.58538,0.000328125,0.000328125,0.000328125
2,637.695,0.94449,1.34103,1.35137,0.81363,0.38303,0.4462,0.28419,1.17944,1.78382,1.71483,0.000648361,0.000648361,0.000648361
3,1077.5,0.92862,1.21313,1.32326,0.8891,0.4076,0.4868,0.31349,1.18695,1.57316,1.71118,0.000955398,0.000955398,0.000955398
4,1359.83,0.90123,1.11127,1.31167,0.8892,0.44547,0.50016,0.34823,0.97995,1.40934,1.47828,0.0009406,0.0009406,0.0009406
5,1635.37,0.88486,1.02632,1.3003,0.89436,0.46409,0.5115,0.365,0.97416,1.2032,1.51858,0.0009208,0.0009208,0.0009208
6,1907.44,0.85341,0.99377,1.27752,0.89958,0.47067,0.5206,0.35782,1.01031,1.15096,1.46168,0.000901,0.000901,0.000901
7,2182.01,0.80568,0.88834,1.23657,0.95309,0.47275,0.53728,0.38194,0.95165,1.01221,1.46018,0.0008812,0.0008812,0.0008812
8,2454.07,0.7953,0.84093,1.22715,0.92426,0.51049,0.54277,0.42171,0.81613,0.83725,1.31067,0.0008614,0.0008614,0.0008614
9,2728.73,0.78039,0.81979,1.2206,0.72129,0.53319,0.55262,0.43548,0.83452,0.93863,1.30845,0.0008416,0.0008416,0.0008416
10,3009.25,0.7324,0.76413,1.19055,0.9088,0.53933,0.55813,0.43572,0.79305,0.76456,1.28495,0.0008218,0.0008218,0.0008218
11,3306.88,0.73917,0.75455,1.19109,0.9456,0.53181,0.54873,0.41747,0.86823,0.74063,1.35419,0.000802,0.000802,0.000802
12,3606.87,0.71687,0.73029,1.18327,0.94064,0.53106,0.54749,0.44476,0.72996,0.70969,1.23699,0.0007822,0.0007822,0.0007822
13,3899.38,0.69913,0.69933,1.16419,0.93761,0.53104,0.54991,0.44192,0.873,0.7349,1.32182,0.0007624,0.0007624,0.0007624
14,4199.68,0.6958,0.69246,1.15426,0.95286,0.51365,0.55167,0.43069,0.8297,0.66645,1.30901,0.0007426,0.0007426,0.0007426
15,4487.78,0.6602,0.6384,1.13787,0.91788,0.54047,0.55585,0.45897,0.73523,0.61407,1.20079,0.0007228,0.0007228,0.0007228
16,4781.9,0.65629,0.641,1.13822,0.90984,0.54528,0.55531,0.4495,0.8105,0.667,1.26849,0.000703,0.000703,0.000703
17,5074.68,0.62985,0.61453,1.12163,0.93224,0.51842,0.54859,0.44329,0.78934,0.66719,1.28988,0.0006832,0.0006832,0.0006832
18,5361.51,0.652,0.61333,1.12983,0.93548,0.53734,0.54952,0.42789,0.83021,0.6293,1.32688,0.0006634,0.0006634,0.0006634
19,5645.1,0.62778,0.60446,1.12187,0.9401,0.51389,0.55374,0.45406,0.7231,0.57069,1.20399,0.0006436,0.0006436,0.0006436
20,5924.1,0.61772,0.58077,1.1084,0.72312,0.54227,0.55682,0.45785,0.71184,0.64644,1.21843,0.0006238,0.0006238,0.0006238
21,6216,0.59582,0.56451,1.09448,0.9363,0.52798,0.5466,0.45918,0.74158,0.58088,1.23982,0.000604,0.000604,0.000604
22,6497.43,0.59323,0.55341,1.09012,0.92666,0.5264,0.53755,0.44573,0.7122,0.57354,1.22729,0.0005842,0.0005842,0.0005842
23,6775.9,0.58506,0.54536,1.0912,0.95663,0.52518,0.55322,0.45622,0.66389,0.54282,1.19778,0.0005644,0.0005644,0.0005644
24,7064.59,0.5859,0.53187,1.08475,0.94397,0.54016,0.55517,0.46163,0.72312,0.5349,1.24,0.0005446,0.0005446,0.0005446
25,7337.08,0.56114,0.5194,1.07281,0.93124,0.54694,0.55484,0.46752,0.72355,0.55026,1.22126,0.0005248,0.0005248,0.0005248
26,7612.25,0.55501,0.50425,1.07282,0.9215,0.53831,0.56078,0.46999,0.70303,0.54455,1.21663,0.000505,0.000505,0.000505
27,7888.82,0.54725,0.49911,1.0612,0.94672,0.53175,0.5593,0.46972,0.69742,0.52359,1.16428,0.0004852,0.0004852,0.0004852
28,8169.2,0.54173,0.49146,1.06347,0.93439,0.52706,0.54673,0.46716,0.68492,0.50596,1.18885,0.0004654,0.0004654,0.0004654
29,8443.19,0.53662,0.48983,1.05876,0.935,0.54408,0.55856,0.47325,0.69968,0.49764,1.21104,0.0004456,0.0004456,0.0004456
30,8717.56,0.53005,0.47869,1.0544,0.72768,0.54237,0.55092,0.46789,0.70079,0.51082,1.20841,0.0004258,0.0004258,0.0004258
31,8990.4,0.51741,0.46434,1.05127,0.72052,0.55431,0.55612,0.46644,0.70693,0.52024,1.22277,0.000406,0.000406,0.000406
32,9268.67,0.50917,0.45575,1.04008,0.94701,0.53404,0.55892,0.47764,0.69361,0.48682,1.20022,0.0003862,0.0003862,0.0003862
33,9543.84,0.50921,0.44967,1.0413,0.7308,0.54787,0.55637,0.47132,0.67713,0.48217,1.20194,0.0003664,0.0003664,0.0003664
34,9818.34,0.49184,0.43389,1.02203,0.75059,0.52939,0.55805,0.47608,0.74029,0.49098,1.26928,0.0003466,0.0003466,0.0003466
35,10097,0.49637,0.43012,1.03419,0.93131,0.54452,0.558,0.47579,0.66603,0.48469,1.19065,0.0003268,0.0003268,0.0003268
36,10376.8,0.48183,0.42912,1.02472,0.53091,0.55421,0.55104,0.47265,0.67292,0.50021,1.1914,0.000307,0.000307,0.000307
37,10661,0.47232,0.41859,1.01857,0.72919,0.54649,0.55191,0.47429,0.67385,0.48338,1.20919,0.0002872,0.0002872,0.0002872
38,10942.1,0.46791,0.41814,1.01977,0.73951,0.53709,0.55933,0.48251,0.6534,0.49964,1.18133,0.0002674,0.0002674,0.0002674
